STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,21,,0,0,0,TALUK,Thiruvidaimarudur,Total,48044,212977,106325,106652,25863,13202,12661,61106,30705,30401,562,281,281,140269,78323,61946,72708,28002,44706,82158,60470,21688,70730,55115,15615,10065,8728,1337,33553,24421,9132,6329,3960,2369,20783,18006,2777,11428,5355,6073,534,285,249,8914,3842,5072,421,103,318,1559,1125,434,130819,45855,84964,1.0
33,21,,0,0,0,TALUK,Thiruvidaimarudur,Rural,35201,155805,77886,77919,19316,9812,9504,50283,25323,24960,334,170,164,99969,56334,43635,55836,21552,34284,60696,44408,16288,51278,40101,11177,8531,7454,1077,27992,20406,7586,2331,1460,871,12424,10781,1643,9418,4307,5111,487,259,228,7524,3187,4337,279,68,211,1128,793,335,95109,33478,61631,1.0
33,21,,0,0,0,TALUK,Thiruvidaimarudur,Urban,12843,57172,28439,28733,6547,3390,3157,10823,5382,5441,228,111,117,40300,21989,18311,16872,6450,10422,21462,16062,5400,19452,15014,4438,1534,1274,260,5561,4015,1546,3998,2500,1498,8359,7225,1134,2010,1048,962,47,26,21,1390,655,735,142,35,107,431,332,99,35710,12377,23333,1.0
33,21,,1155700,0,0,VILLAGE,Kulasekaranallur,Rural,596,2797,1361,1436,418,204,214,816,410,406,0,0,0,1621,881,740,1176,480,696,872,719,153,311,297,14,121,118,3,53,52,1,1,1,0,136,126,10,561,422,139,24,24,0,480,352,128,8,6,2,49,40,9,1925,642,1283,1.0
33,21,,1155800,0,0,VILLAGE,Sarabojirajapuram,Rural,418,1949,992,957,320,178,142,752,387,365,0,0,0,923,524,399,1026,468,558,731,541,190,593,407,186,73,69,4,452,283,169,28,21,7,40,34,6,138,134,4,0,0,0,136,132,4,0,0,0,2,2,0,1218,451,767,1.0
33,21,,1155900,0,0,VILLAGE,Marathurai,Rural,425,1970,973,997,246,124,122,841,412,429,0,0,0,1130,635,495,840,338,502,813,573,240,466,436,30,96,96,0,274,264,10,12,9,3,84,67,17,347,137,210,10,8,2,331,124,207,0,0,0,6,5,1,1157,400,757,1.0
33,21,,1156000,0,0,VILLAGE,Vannikudi,Rural,343,1561,789,772,188,95,93,1246,619,627,0,0,0,1021,582,439,540,207,333,679,442,237,268,232,36,52,48,4,184,161,23,0,0,0,32,23,9,411,210,201,44,39,5,342,151,191,6,2,4,19,18,1,882,347,535,1.0
33,21,,1156100,0,0,VILLAGE,Neivasal,Rural,201,844,419,425,109,49,60,433,217,216,0,0,0,380,232,148,464,187,277,306,204,102,290,194,96,20,16,4,237,150,87,2,2,0,31,26,5,16,10,6,3,1,2,8,6,2,4,3,1,1,0,1,538,215,323,1.0
33,21,,1156200,0,0,VILLAGE,Thirumangaicheri,Rural,361,1595,824,771,239,128,111,778,397,381,0,0,0,908,532,376,687,292,395,561,479,82,507,434,73,97,95,2,330,266,64,4,4,0,76,69,7,54,45,9,2,2,0,34,25,9,2,2,0,16,16,0,1034,345,689,1.0
33,21,,1156300,0,0,VILLAGE,Sayanapuram,Rural,217,986,515,471,148,84,64,522,272,250,0,0,0,616,348,268,370,167,203,304,264,40,289,251,38,115,111,4,160,129,31,1,1,0,13,10,3,15,13,2,0,0,0,15,13,2,0,0,0,0,0,0,682,251,431,1.0
33,21,,1156400,0,0,VILLAGE,Neikuppai,Rural,479,2062,1053,1009,257,147,110,656,340,316,0,0,0,1349,748,601,713,305,408,768,596,172,766,595,171,102,98,4,485,343,142,6,0,6,173,154,19,2,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1294,457,837,1.0
